samples,es,D6,D14,D16,D18,D24,D25,D28,D34,D36,D42,D48,D54
56,210,0.165640099,0.615949924,0.076007639,0.528026298,0.126518309,23.779,0.344850245,0.572358866,0.107584902,0.351720189,0.446367783,0.392834271
57,674,0.18743294,0.293263407,0.045682386,0.288963775,0.123386267,27.97,0.072109807,0.711641938,0.060501608,0.107767207,0.317426817,0.416247996
58,707,0.188943671,0.293710079,0.045714184,0.28641588,0.123958413,28.075,0.07268914,0.708589754,0.061032662,0.107384871,0.315649912,0.419726477
59,696,0.18837379,0.284450995,0.048622999,0.303878379,0.124857818,28.598,0.074688566,0.712432531,0.057539922,0.111518021,0.315847691,0.419672195
60,701,0.176456384,0.310415673,0.04863264,0.244537415,0.099347519,30.405,0.077891732,0.56706501,0.063075674,0.093751412,0.227647438,0.467516159
61,784,0.186559642,0.291429867,0.045160297,0.265737933,0.121386186,29.132,0.074312663,0.647233996,0.0601641,0.100346569,0.276969384,0.443257016
62,731,0.186253792,0.29006917,0.044449411,0.262601822,0.121392105,29.04,0.073826758,0.647639937,0.060275021,0.099673876,0.277103496,0.442632846
63,677,0.186880719,0.291008321,0.045605635,0.293496916,0.123390333,27.852,0.071869396,0.720420522,0.05979403,0.108932654,0.321913568,0.412163746
64,656,0.185710745,0.292794184,0.045647235,0.2914436,0.122716915,27.865,0.071524053,0.714040796,0.059952383,0.108147574,0.319062081,0.412726921
65,498.2,0.163065045,0.346311506,0.020954715,0.35599203,0.076119054,27.53,0.184334985,0.707045028,0.080150954,0.316359571,0.313899976,0.454197629
66,600.6,0.171935804,0.366748547,0.020974686,0.359895723,0.091336458,27.386,0.177331804,0.72252689,0.086241676,0.24081504,0.347290419,0.456881829
67,388.7,0.166871163,0.381413466,0.019240094,0.356077593,0.063347237,27.512,0.173867636,0.715179333,0.086386917,0.176394197,0.346874104,0.46267349
68,665.6,0.171483225,0.370933264,0.020872069,0.356720707,0.094986511,27.49,0.170310555,0.721308113,0.086607264,0.27864176,0.348929243,0.460366737
69,383.7,0.161130424,0.351733557,0.020215322,0.35248736,0.06688326,26.365,0.200784576,0.755438268,0.07809318,0.248118685,0.318553653,0.42222059
70,418.6,0.142693767,0.237465335,0.024235483,0.318919666,0.094810347,28.376,0.166520004,0.670636397,0.051496615,0.963024793,0.175773528,0.443819052
71,630.5,0.157973851,0.287798277,0.022269645,0.358167867,0.081412548,28.584,0.176004254,0.633404287,0.073551086,0.343401849,0.266423145,0.470810109
72,717.7,0.172612827,0.290438967,0.023952155,0.357608785,0.122596517,28.838,0.160986924,0.632873729,0.081190924,0.35221427,0.30479751,0.482268017
73,748.5,0.166948976,0.296570343,0.023627274,0.357571849,0.121131041,28.847,0.162786975,0.638959351,0.078251544,0.439159947,0.293111971,0.480961643
74,776.1,0.172131394,0.294722548,0.023964328,0.358544588,0.125872224,28.85,0.160550812,0.636297083,0.081111256,0.385406267,0.305669532,0.482846757
75,598.2,0.17561632,0.351005442,0.024276406,0.362194352,0.110547641,27.896,0.172374952,0.707621398,0.086977962,0.287090931,0.346605911,0.469071716
76,660.3,0.173507234,0.307389535,0.02324376,0.36051562,0.112775445,27.552,0.177169934,0.69379587,0.08096239,0.30865893,0.318081359,0.450482209
77,630.4,0.178804609,0.310288524,0.024100487,0.358514434,0.130369758,27.471,0.172726376,0.709778139,0.082993701,0.384342805,0.330747129,0.449367708
78,786.3,0.18661947,0.207421519,0.027824811,0.273339119,0.170816111,29.436,0.116822666,0.606741679,0.080447691,0.553303144,0.295169766,0.48752803
79,674.2,0.167832708,0.311102817,0.022644853,0.35993004,0.104425522,27.658,0.181021657,0.68935557,0.078843011,0.337059737,0.305041732,0.452334719
80,665.9,0.153829492,0.273614585,0.023033692,0.348815884,0.093620551,28.619,0.173754443,0.639538614,0.06823765,0.513629515,0.242918327,0.465911846
81,702.6,0.154898048,0.267056096,0.025246219,0.350632669,0.093852963,28.42,0.173736121,0.63271628,0.069030044,0.487449206,0.240066113,0.459723314
