samples es D5 D6 D14 D16 D18 D24 D25 D30 D34 D36 D39 D44 D48 D52
35 315 1.656 0.075866178 0.476151054 0.101558724 0.370255455 0.117947038 25.84 0.264570276 0.833992402 0.120725586 2.5446 0.667773183 0.292315997 0.34518805
36 402 1.65666667 0.069234006 0.435456608 0.093253986 0.361401906 0.164260918 24.95000005 0.26248854 0.767227599 0.1113848 2.637166672 0.609243458 0.275423711 0.577495025
37 664 1.756444443 0.179658722 0.456976133 0.052757647 0.502502093 0.061757066 29.81777775 0.184027666 0.653160125 0.081862613 8.416666662 0.592498173 0.298051092 0.570612985
38 905 1.749787232 0.177383875 0.453038575 0.052755212 0.492923548 0.061031666 29.68936167 0.180150118 0.650108994 0.081041038 8.107446796 0.578173574 0.29361577 0.568658401
39 764 1.743673471 0.175161841 0.449078449 0.052673267 0.483869461 0.060306052 29.5714286 0.1765051 0.646828837 0.080212355 7.823469397 0.564630704 0.289350946 0.566549108
40 811 1.7225 0.149280502 0.375704194 0.046471702 0.442548358 0.108000152 30.4 0.149937189 0.58288078 0.048397007 7.3575 0.349403768 0.144137515 0.458876745
41 115 1.495 0.074138943 0.267666074 0.011952393 0.332353439 0.129249507 21.82 0.184696069 0.453723178 0.032790992 2.8362 0.788887228 0.263005804 0.175266929
42 60 1.561 0.057043519 0.267627504 0.008364167 0.286128408 0.17801268 21.72 0.241479114 0.599299425 0.079345558 3.4194 0.737069844 0.224533333 0.507266616
43 60 1.5625 0.057453146 0.343053798 0.04333722 0.386663937 0.17935694 19.305 0.260306335 1.000347061 0.130797779 3.2817 0.745052768 0.272434627 0.608301778
44 130 1.5681 0.057632557 0.377625353 0.050949747 0.417389784 0.179937846 18.665 0.282143202 0.924107617 0.140119707 2.81306 0.659236881 0.297008713 0.637998073
45 155 1.5716 0.057630977 0.398401672 0.054330721 0.428417842 0.180231851 18.265 0.294861641 0.867193818 0.142607196 2.52016 0.60675181 0.311510259 0.656350924
46 230 1.5751 0.057543383 0.418677263 0.056859837 0.434901922 0.180471832 17.865 0.306941846 0.808309297 0.142978588 2.22726 0.554506415 0.325447945 0.674571184
47 156 1.596 0.018838717 0.377090552 0.047797931 0.474451408 0.094048503 21.16 0.28397051 0.996416137 0.124155148 2.7404 0.540780242 0.275753051 0.275112706
48 879 1.62 0.177880629 0.388276898 0.041746 0.527466189 0.119990897 28.6 0.163780036 0.722837144 0.06104845 26.888 0.871500099 0.292682927 0.551416434
49 694 1.743846156 0.161123522 0.323641468 0.046182646 0.375273921 0.08384067 32.15384619 0.104488182 0.508455395 0.050183709 7.883076931 0.36559559 0.131194184 0.464573845
50 741 1.735714287 0.156901875 0.345273245 0.046520212 0.419132483 0.094919576 31.48571432 0.12527202 0.537861811 0.049660999 7.682857151 0.360232677 0.137167339 0.463524653
51 772 1.728666668 0.152962133 0.362230404 0.046587228 0.436836794 0.102552612 30.9066667 0.139559122 0.562322581 0.049053105 7.509333341 0.354807252 0.141298541 0.461526127
52 502 1.656 0.194819155 0.493213747 0.054680167 0.491943599 0.152427684 26.73 0.196297683 0.838426401 0.087120837 16.5244 0.696265571 0.38582213 0.644763541
53 409 1.605000003 0.220861802 0.469884758 0.064903574 0.555959761 0.140757488 27.16666672 0.18868695 0.896262063 0.098825567 25.05400005 0.798275947 0.454283111 0.701041696
54 736 1.684285716 0.22641386 0.443693015 0.060074925 0.513609386 0.149878628 28.42857146 0.175711639 0.802462784 0.095377683 21.84628574 0.708608621 0.418946256 0.702063457
55 295 1.454 0.081330099 0.450793755 0.046681893 0.516495238 0.122270829 25.6 0.168998211 0.450197533 0.06065357 26.4048 0.917010396 0.304804876 0.321272455
56 210 1.8286 0.165640099 0.615949924 0.076007639 0.528026298 0.126518309 23.779 0.324177422 0.572358866 0.107584902 4.5692 0.504283927 0.446367783 0.813062625
57 674 1.5858 0.18743294 0.293263407 0.045682386 0.288963775 0.123386267 27.97 0.097932962 0.711641938 0.060501608 36.322 0.720270343 0.317426817 0.607593902
58 707 1.5944 0.188943671 0.293710079 0.045714184 0.28641588 0.123958413 28.075 0.097376176 0.708589754 0.061032662 35.308 0.704586033 0.315649912 0.6108602
59 696 1.5708 0.18837379 0.284450995 0.048622999 0.303878379 0.124857818 28.598 0.100735521 0.712432531 0.057539922 39.5835 0.796451378 0.315847691 0.592713684
60 701 1.7136 0.176456384 0.310415673 0.04863264 0.244537415 0.099347519 30.405 0.079707528 0.56706501 0.063075674 14.486 0.421879297 0.227647438 0.561122089
61 784 1.647 0.186559642 0.291429867 0.045160297 0.265737933 0.121386186 29.132 0.089099498 0.647233996 0.0601641 26.6025 0.589885453 0.276969384 0.593361051
62 731 1.648 0.186253792 0.29006917 0.044449411 0.262601822 0.121392105 29.04 0.088613632 0.647639937 0.060275021 26.408 0.584121556 0.277103496 0.595364343
